Steps,    Chain,           Chi,             Rama,            Water,          Helix,           AMH-Go,       Frag_Mem,          Membrane,          VTotal,      Ebond,     Epair,     Rg
1056000, 123.32111899365, 45.0489506692606, -340.476843373528, 0, 0, -481.317778542635, 0, -34.4786923676355, -687.903244620888, 182.776888164903, 20.2157561501299, 9.65235366744454
1080000, 122.851047508159, 27.0926403290127, -340.143551791132, 0, 0, -490.678377364518, 0, -35.2890729171147, -716.167314235593, 169.931130159255, 12.4327292873878, 9.68575655152967
1104000, 114.378793002323, 33.7744391899709, -334.459403206808, 0, 0, -502.893600887274, 0, -35.7194455971241, -724.919217498912, 168.529197527539, 12.3073550076268, 9.65888175637261
1128000, 131.859464295702, 36.1273270820097, -348.443425093222, 0, 0, -490.233445135722, 0, -40.4117109839747, -711.101789835207, 184.526868098406, 18.6501262890552, 9.89415358218712
1152000, 120.663741316818, 40.3365851019718, -339.410924951438, 0, 0, -495.145309394605, 0, -39.5136061999041, -713.069514127157, 182.100409245542, 13.8952631201856, 10.8553874110932
1176000, 153.317085566597, 35.9574569189506, -333.06658507206, 0, 0, -488.187816248223, 0, -39.1234465701738, -671.103305404909, 222.295573275925, 16.8989360023223, 10.3691812788626
1200000, 138.548429942776, 40.0890258060624, -334.602875970542, 0, 0, -473.619187348055, 0, -37.2879436853648, -666.872551255123, 199.858758197763, 21.1015777753244, 10.012882487302
1224000, 138.896391185662, 33.8860598483243, -347.576181900118, 0, 0, -492.260351669628, 0, -34.4971486766305, -701.55123121239, 209.683158628386, 16.3302095515808, 9.60264055625967
1248000, 120.079024156582, 32.0741991836113, -345.172648891482, 0, 0, -487.13679486407, 0, -35.9238974350392, -716.080117850398, 221.218418118208, 16.1493442540379, 10.3921708958999
1272000, 110.397017710396, 38.2014194121988, -345.350098735262, 0, 0, -491.208254527899, 0, -39.0069639639114, -726.966880104478, 175.545163920753, 15.3117518934212, 10.4679608808457
1296000, 137.345522784094, 35.4230726525813, -336.407827863047, 0, 0, -498.595439061808, 0, -37.040276928787, -699.274948416967, 202.200999371412, 23.4963500512657, 10.3054382373774
1320000, 132.53721068907, 38.2341315998254, -347.763573291348, 0, 0, -489.549279936005, 0, -33.984841554113, -700.526352492571, 201.447039101239, 21.3254767662112, 10.7148337658921
1344000, 123.953511187309, 36.8913076224224, -335.272269660361, 0, 0, -479.941594093218, 0, -35.7502887950975, -690.119333738945, 210.560016889938, 16.1549076434395, 10.7057317833707
1368000, 126.656901194323, 44.7597947995957, -338.714532753619, 0, 0, -492.077727382708, 0, -39.1933648863672, -698.568929028776, 185.738266563723, 18.5946437587971, 10.3538184030896
