Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
140000 	327.124446	0.000000	68.917202	-107.580158	0.000000	0.000000	0.000000	-20.198996	-56.105591	0.000000	-59.955297	-30421.260981	0.000000	0.000000	0.000000	0.000000	-30269.059375
140000 	327.124446	0.000000	68.917202	-107.580158	0.000000	0.000000	0.000000	-20.198996	-56.105591	0.000000	-59.955297	-30421.260981	0.000000	0.000000	0.000000	0.000000	-30269.059375
144000 	270.024752	0.000000	47.478411	-113.463595	0.000000	0.000000	0.000000	-16.413920	-54.148494	0.000000	-73.316545	-31048.363133	0.000000	0.000000	0.000000	0.000000	-30988.202525
144000 	270.024752	0.000000	47.478411	-113.463595	0.000000	0.000000	0.000000	-16.413920	-54.148494	0.000000	-73.316545	-31048.363133	0.000000	0.000000	0.000000	0.000000	-30988.202525
148000 	290.071596	0.000000	51.337639	-102.126964	0.000000	0.000000	0.000000	-22.516608	-54.477102	0.000000	-65.658083	-29894.005176	0.000000	0.000000	0.000000	0.000000	-29797.374699
148000 	290.071596	0.000000	51.337639	-102.126964	0.000000	0.000000	0.000000	-22.516608	-54.477102	0.000000	-65.658083	-29894.005176	0.000000	0.000000	0.000000	0.000000	-29797.374699
152000 	247.620352	0.000000	56.566932	-109.174161	0.000000	0.000000	0.000000	-23.232850	-55.071405	0.000000	-76.257882	-31215.360955	0.000000	0.000000	0.000000	0.000000	-31174.909969
152000 	247.620352	0.000000	56.566932	-109.174161	0.000000	0.000000	0.000000	-23.232850	-55.071405	0.000000	-76.257882	-31215.360955	0.000000	0.000000	0.000000	0.000000	-31174.909969
156000 	308.742681	0.000000	61.452327	-110.015406	0.000000	0.000000	0.000000	-19.991770	-55.059517	0.000000	-49.246462	-30330.801899	0.000000	0.000000	0.000000	0.000000	-30194.920045
156000 	308.742681	0.000000	61.452327	-110.015406	0.000000	0.000000	0.000000	-19.991770	-55.059517	0.000000	-49.246462	-30330.801899	0.000000	0.000000	0.000000	0.000000	-30194.920045
160000 	299.211339	0.000000	51.016871	-113.614153	0.000000	0.000000	0.000000	-19.692952	-54.751103	0.000000	-68.469052	-30567.160786	0.000000	0.000000	0.000000	0.000000	-30473.459836
160000 	299.211339	0.000000	51.016871	-113.614153	0.000000	0.000000	0.000000	-19.692952	-54.751103	0.000000	-68.469052	-30567.160786	0.000000	0.000000	0.000000	0.000000	-30473.459836
